Update date,鋼鐵工業,橡膠工業,汽車工業,電腦及週邊設備業,半導體業,電子零組件業,其他電子業,通信網路業,資訊服務業,建材營造業,航運業,觀光餐旅,銀行業,保險業,金控業,貿易百貨業,光電業,電子通路業,證券業,數位雲端,綠能環保,其他業,運動休閒,油電燃氣業,居家生活,文化創意業,農業科技業,ETF,不動產投資信託證券,資產基礎證券,ETN,存託憑證
2024/10,'2002,'2101,'1319,'1569,'2302,,'1785,,'2427,'1316,'2208,'1259,'2801,'2816,'2880,'2601,'2323,'2347,'2855,'2640,'3073,'1342,'1432,'2616,'2062,'2926,'1240,'0050,,,'020000,'9103
,'2006,'2102,'1338,'2301,'2303,,'2312,,'2453,'1436,'2603,'1268,'2809,'2832,'2881,'2901,'2349,'2414,'5864,'2949,'3551,'1416,'1593,'6505,'2916,'3064,'4171,'0051,,,'020001,'910322
,'2007,'2103,'1339,'2305,'2329,,'2317,,'2468,'1438,'2605,'2701,'2812,'2850,'2882,'2903,'2374,'2430,'6005,'3085,'3708,'1435,'1598,'8908,'2924,'3083,'6508,'0052,,,'020011,'9105
,'2008,'2104,'1512,'2324,'2330,,'2354,,'2471,'1439,'2606,'2702,'2820,'2851,'2883,'2905,'2393,'3010,'6015,'3130,'3713,'1437,'1736,'8917,'2937,'3086,'6578,'0053,,,'020012,'910861
,'2009,'2105,'1521,'2331,'2337,,'2359,,'2480,'1442,'2607,'2704,'2834,'2852,'2884,'2906,'2406,'3028,'6016,'3687,'5205,'1443,'2762,'8926,'2941,'3293,,'0055,,,'020015,'9110
,'2010,'2106,'1522,'2352,'2338,,'2360,,'3029,'1453,'2608,'2705,'2836,'2867,'2885,'2908,'2409,'3033,'6020,'5278,'5292,'1516,'4536,'8927,'2947,'3546,,'0056,,,'020016,'911608
,'2012,'2107,'1524,'2353,'2340,,'2373,,'3147,'1456,'2609,'2706,'2838,'5878,'2886,'2910,'2426,'3036,'6021,'5287,'5432,'1584,'5306,'8931,'2948,'3629,,'0057,,,'020018,'911622
,'2013,'2108,'1525,'2356,'2342,,'2390,,'3570,'1472,'2610,'2707,'2845,,'2887,'2911,'2429,'3048,'6023,'5321,'6581,'2221,'6670,'9908,'3557,'4806,,'0061,,,'020019,'911868
,'2014,'2109,'1533,'2357,'2344,,'2404,,'4953,'1805,'2611,'2712,'2849,,'2888,'2912,'2438,'3055,'6024,'6165,'6624,'2348,'6768,'9918,'4609,'4946,,'006201,,,'020020,'912000
,'2015,'2114,'1536,'2362,'2351,,'2423,,'4994,'1808,'2612,'2719,'2897,,'2889,'2913,'2466,'3209,'6026,'6689,'6641,'2496,'6804,'9926,'4702,'5263,,'006203,,,'020023,'9136
,'2017,'6582,'1563,'2364,'2363,,'2433,,'5201,'2442,'2613,'2722,'5876,,'2890,'2915,'2486,'3224,,'6690,'6692,'2514,'6890,'9931,'5902,'5478,,'006204,,,'020025,
,'2020,,'1568,'2365,'2369,,'2459,,'5202,'2501,'2615,'2723,,,'2891,'2929,'2489,'3232,,'6741,'6771,'2614,'8420,'9937,'5903,'6101,,'006205,,,'020027,
,'2022,,'1587,'2376,'2379,,'2461,,'5203,'2504,'2617,'2724,,,'2892,'2939,'2491,'3312,,'6763,'6803,'2904,'8462,,'5904,'6111,,'006206,,,'020028,
,'2023,,'2115,'2377,'2388,,'2464,,'5210,'2505,'2618,'2726,,,'5880,'2945,'3008,'3360,,'6811,'6806,'3040,'8467,,'6195,'6144,,'006207,,,'020029,
,'2024,,'2201,'2380,'2401,,'2474,,'5211,'2506,'2630,'2727,,,,'4807,'3019,'3444,,'6865,'6869,'3284,'8478,,'6616,'6169,,'006208,,,'020030,
,'2025,,'2204,'2382,'2408,,'2477,,'5212,'2509,'2633,'2729,,,,'5906,'3024,'3528,,'6870,'6873,'3313,'8924,,'6629,'6180,,'00636,,,'020031,
,'2027,,'2206,'2387,'2434,,'2482,,'5310,'2511,'2634,'2731,,,,'5907,'3031,'3702,,'6902,'6894,'4154,'8928,,'6671,'6294,,'00639,,,'020032,
,'2028,,'2207,'2395,'2436,,'2488,,'5403,'2515,'2636,'2732,,,,'8429,'3038,'5434,,'6906,'6923,'4430,'8933,,'6728,'6482,,'00643,,,'020033,
,'2029,,'2227,'2397,'2441,,'3018,,'5410,'2516,'2637,'2734,,,,'8443,'3049,'6113,,'8044,'6951,'4529,'8938,,'6754,'6542,,'00645,,,'020034,
,'2030,,'2228,'2399,'2449,,'3030,,'6112,'2520,'2641,'2736,,,,,'3050,'6118,,'8454,'6969,'4541,'9802,,'6807,'6596,,'00646,,,'020035,
,'2031,,'2231,'2405,'2451,,'3043,,'6123,'2524,'2642,'2739,,,,,'3051,'6154,,'8472,'8087,'4556,'9904,,'6968,'6856,,'00652,,,'020036,
